"","DGP","n","Estimator","Av.Bias","Med.Bias","RMSE","MAE","MCSD","Asy.Var","Coverage","Lenth-CI","Sem. Eff. Bound"
"unf.att",4,500,-0.000356702312213936,-0.000356702312213936,-0.000888171044343527,0.0904052416365096,0.0721024117573285,0.090404537932651,NA,NA,NA,NA
"TWFE",4,500,-16.2528945423051,-16.2528945423051,-16.3381543264566,17.8133797383701,16.3249885390277,7.29108474097526,26288.6322916315,0.3847,28.3977713989165,46.41
"REG",4,500,-5.1585206470532,-5.1585206470532,-5.17844168976501,13.1131991880636,10.4783236302628,12.0559386892832,72396.2409207362,0.9262,47.1159982040323,46.41
"IPW",4,500,-0.31911299648162,-0.31911299648162,-0.660976047414252,79.3354056234774,63.006523661082,79.3347638323653,3113000.09128048,0.9462,309.029428258382,46.41
"IPW-STD",4,500,-3.92203907961182,-3.92203907961182,-3.91866694284857,14.3996044477617,11.472512132464,13.8551873935359,94201.9997622928,0.9379,53.6894297665413,46.41
"DR.tr1",4,500,-3.34880261187375,-3.34880261187375,-3.26427081118234,9.58199021768847,7.60380613281696,8.97775348283662,37997.4764950134,0.9276,33.9993816336053,46.41
"DR.tr2",4,500,-3.26663917236774,-3.26663917236774,-3.41307926026952,7.95912469163969,6.38216165301878,7.25787395692576,23413.646660652,0.9065,26.5936609800625,46.41
"DR.imp1",4,500,-2.72753212193783,-2.72753212193783,-2.66138683430777,7.57107033579383,6.01710337178012,7.06269598335753,23519.1397592198,0.9219,26.8469567275225,46.41
"DR.imp2",4,500,-2.67351700962733,-2.67351700962733,-2.72533365175434,6.52046642633736,5.20948415185004,5.94716648633835,15508.5736837627,0.9075,21.7926312712803,46.41
